field,source_file,source_key,data_status
ground_truth_available,derived/reconstruction/causal_status.json,requirements.foc_context_available,available_in_all_cases
manifest_present,manifest.json,exists,available_in_all_cases
manifest_verified,manifest.json,artifacts,available_in_all_cases
memory_analysis_status,analysis/forensic_analysis_report.json,layer_status.memory_analysis.status,available_in_all_cases
memory_first_when_enabled,metadata/normalized_causal_timestamps.json,memory_acquisition_started_at_utc ≤ forensic_intervention_started_at_utc,available_in_all_cases
memory_size_gib,manifest.json,artifacts[type=memory_lime].size,available_in_all_cases
missing_edges,derived/reconstruction/reconstruction_metrics.json,missing_edges,available_in_all_cases
pcap_size_gib,manifest.json,artifacts[type=network_pcap].size,available_in_all_cases
plc_scada_reachable,metadata/workflow_phase_summary.json,pipeline_fields.plc_scada_reachable.value (not yet written by pipeline),stub_no_pipeline_value_yet
primary_derived_separation_verified,metadata/critical_evidence_gate.json,checks.manifest_present,available_in_all_cases
raw_alert_preserved,metadata/critical_evidence_gate.json,checks.raw_wazuh_trigger_binding_present,available_in_all_cases
recoverability_label,derived/reconstruction/reconstruction_metrics.json,recoverability_label,available_in_all_cases
recovered_edges,derived/reconstruction/reconstruction_metrics.json,recovered_edges,available_in_all_cases
redeploy_completed,metadata/workflow_phase_summary.json,pipeline_fields.redeploy_completed.value (not yet written by pipeline),stub_no_pipeline_value_yet
redeployment_time_s,metadata/workflow_phase_summary.json,pipeline_fields.redeployment_time_s.value (not yet written by pipeline),stub_no_pipeline_value_yet
required_artifacts_expected,derived,design_constant,available_in_all_cases
required_artifacts_preserved,manifest.json,"artifacts[type in {memory_lime,network_pcap,disk_raw}]",available_in_all_cases
run_id,derived,run_index,available_in_all_cases
same_topology_instantiated,metadata/workflow_phase_summary.json,pipeline_fields.same_topology_instantiated.value (not yet written by pipeline),stub_no_pipeline_value_yet
scenario_drift,derived across all cases,all runs scenario_drift,available_in_all_cases
scenario_id,derived/reconstruction/reconstruction_metrics.json,scenario_id,available_in_all_cases
scientific_confidence,derived/reconstruction/causal_status.json,scientific_confidence,available_in_all_cases
segmentation_verified,metadata/workflow_phase_summary.json,pipeline_fields.segmentation_verified.value (not yet written by pipeline),stub_no_pipeline_value_yet
sensor_liveness_verified,metadata/workflow_phase_summary.json,pipeline_fields.sensor_liveness_verified.value (not yet written by pipeline),stub_no_pipeline_value_yet
teardown_completed,metadata/workflow_phase_summary.json,pipeline_fields.teardown_completed.value (not yet written by pipeline),stub_no_pipeline_value_yet
technique_id,metadata/trigger_alert_binding.json,signature,available_in_all_cases
time_reference_coherent,metadata/time_sync.json,synchronized / temporal_sync_status,available_in_all_cases
timeline_generated,analysis/forensic_analysis_report.json,layer_status.unified_forensic_timeline.status,available_in_all_cases
trigger_alert_bound,metadata/critical_evidence_gate.json,checks.raw_wazuh_trigger_binding_present,available_in_all_cases
trigger_inside_attack_window,missing_from_existing_reports,missing_from_existing_reports,not_in_existing_artifacts
validation_gate_passed,metadata/workflow_phase_summary.json,pipeline_fields.validation_gate_passed.value (not yet written by pipeline),stub_no_pipeline_value_yet
validation_time_s,metadata/workflow_phase_summary.json,pipeline_fields.validation_time_s.value (not yet written by pipeline),stub_no_pipeline_value_yet
